bioguide_id,Bridge Grade,House Member,District,Party,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,party_match,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_M1,adj_score_S,VV_ideology,PRL_ideology,ideology_score,label,2024 Election Status
P000613,A, Jimmy Panetta,CA-19,D,99.65,Bridger,29.00,99.69,99.69,26.00,99.51,49.75,1.61,98.66,147.98,16.07,47.48,47.48,799,100.00,75.00,17.45,99.96,74.97,10.00,98.57,49.29,20,78.88,39.44,17.45,99.96,74.97,0.06,22.16,58.38,30,93.76,46.88,0.159,67.51,33.76,813.13,1.00,18.46,70.40, 7.04 ,0.29, 15.27 ,0.76,1.27,27.97,1.40,109.2%,887.96,-0.292,-1.266, (51.55), Jimmy Panetta (D) - CA-19,running
F000466,A, Brian K. Fitzpatrick,PA-01,R,99.44,Bridger,19.00,90.75,90.75,30.00,99.91,49.96,5.59,100.00,150.00,79.74,100.00,100.00,656,100.00,75.00,11.63,96.25,72.19,10.00,98.57,49.29,20,78.88,39.44,11.63,96.25,72.19,0.04,21.87,58.59,40,98.92,49.46,-0.099,36.92,18.46,856.15,1.00,0.13,5.99, 0.60 ,0.14, 2.01 ,0.10,0.13,0.56,0.03,100.7%,862.38,0.137,-0.130, 7.45 , Brian K. Fitzpatrick (R) - PA-01,running
S001209,A, Abigail Davis Spanberger,VA-07,D,99.42,Bridger,38.00,100.00,100.00,24.00,98.94,49.47,1.36,97.37,146.06,25.79,76.93,76.93,1019,100.00,75.00,17.91,99.98,74.98,10.00,98.57,49.29,20,78.88,39.44,17.91,99.98,74.98,0.16,23.65,57.26,40,98.92,49.46,0.329,83.48,41.74,842.16,1.00,0.88,7.08, 0.71 ,0.20, 4.90 ,0.25,1.23,26.15,1.31,102.3%,861.19,-0.197,-1.234, (44.49), Abigail Davis Spanberger (D) - VA-07,governor candidate
J000295,A, David P. Joyce,OH-14,R,99.35,Bridger,28.00,99.53,99.53,24.00,98.94,49.47,1.40,97.62,146.43,47.87,99.46,99.46,250,84.06,63.04,11.66,96.32,72.24,10.00,98.57,49.29,20,78.88,39.44,11.66,96.32,72.24,0.09,22.60,58.05,10,50.50,25.25,0.316,82.48,41.24,823.72,1.00,9.45,31.14, 3.11 ,0.25, 9.74 ,0.49,0.48,2.64,0.13,103.7%,854.47,0.251,0.480, 30.75 , David P. Joyce (R) - OH-14,running
K000397,A, Young Kim,CA-40,R,99.34,Bridger,16.00,81.66,81.66,24.00,98.94,49.47,1.38,97.49,146.23,56.61,99.95,99.95,356,96.91,72.68,11.53,96.02,72.01,10.00,98.57,49.29,20,78.88,39.44,11.53,96.02,72.01,0.03,21.73,58.70,50,99.89,49.94,0.37,86.40,43.20,840.68,1.00,1.86,8.72, 0.87 ,0.25, 10.09 ,0.50,0.47,2.59,0.13,101.5%,853.34,0.254,0.475, 30.88 , Young Kim (R) - CA-40,running
G000583,A, Josh Gottheimer,NJ-05,D,99.13,Bridger,23.00,97.06,97.06,30.00,99.91,49.96,2.07,99.68,149.52,38.14,96.01,96.01,571,99.99,74.99,15.12,99.70,74.77,10.00,98.57,49.29,-20,0.16,0.08,15.12,99.70,74.77,0.66,31.82,51.13,50,99.89,49.94,0.217,73.61,36.80,816.81,1.00,3.72,12.59, 1.26 ,0.16, 2.88 ,0.14,1.17,22.82,1.14,102.5%,837.60,-0.160,-1.172, (40.53), Josh Gottheimer (D) - NJ-05,running
L000590,A, Susie Lee,NV-03,D,99.08,Bridger,13.00,68.41,68.41,30.00,99.91,49.96,2.19,99.78,149.68,30.43,86.83,86.83,361,97.18,72.89,16.73,99.93,74.95,10.00,98.57,49.29,20,78.88,39.44,16.73,99.93,74.95,0.74,33.23,50.07,50,99.89,49.94,0.314,82.32,41.16,815.68,1.00,1.46,8.02, 0.80 ,0.23, 7.94 ,0.40,1.16,22.10,1.11,102.3%,834.48,-0.234,-1.158, (45.60), Susie Lee (D) - NV-03,running
K000381,A, Derek Kilmer,WA-06,D,99.02,Bridger,29.00,99.69,99.69,19.00,94.62,47.31,0.89,92.16,138.24,12.22,35.20,35.20,418,99.13,74.34,13.06,98.52,73.89,10.00,98.57,49.29,20,78.88,39.44,13.06,98.52,73.89,0.12,23.05,57.71,50,99.89,49.94,0.009,49.83,24.92,788.23,1.00,6.31,19.76, 1.98 ,0.32, 19.32 ,0.97,1.60,49.81,2.49,105.4%,831.05,-0.316,-1.602, (59.14), Derek Kilmer (D) - WA-06,retiring
N000191,A, Joe Neguse,CO-02,D,98.99,Bridger,32.00,99.92,99.92,24.00,98.94,49.47,1.35,97.31,145.96,14.11,41.13,41.13,302,92.27,69.21,13.57,98.97,74.23,10.00,98.57,49.29,0,14.07,7.03,13.57,98.97,74.23,0.41,27.59,54.31,10,50.50,25.25,-0.109,35.77,17.88,739.32,1.00,17.50,66.51, 6.65 ,0.42, 43.22 ,2.16,1.86,67.06,3.35,112.2%,829.26,-0.421,-1.862, (68.97), Joe Neguse (D) - CO-02,running
H001085,A, Chrissy Houlahan,PA-06,D,98.75,Bridger,18.00,88.19,88.19,23.00,98.48,49.24,1.25,96.54,144.81,15.68,46.19,46.19,344,96.15,72.11,11.71,96.43,72.32,10.00,98.57,49.29,20,78.88,39.44,11.71,96.43,72.32,0.17,23.80,57.15,30,93.76,46.88,0.242,76.04,38.02,787.24,1.00,4.76,15.22, 1.52 ,0.26, 10.68 ,0.53,1.35,33.10,1.66,103.7%,816.45,-0.259,-1.351, (51.05), Chrissy Houlahan (D) - PA-06,running
P000614,A, Chris Pappas,NH-01,D,98.57,Bridger,24.00,97.89,97.89,30.00,99.91,49.96,2.28,99.85,149.77,17.03,50.63,50.63,436,99.42,74.56,17.67,99.97,74.98,10.00,98.57,49.29,20,78.88,39.44,17.67,99.97,74.98,0.16,23.65,57.26,10,50.50,25.25,0.336,84.01,42.00,793.30,1.00,0.06,5.90, 0.59 ,0.24, 8.24 ,0.41,1.07,17.77,0.89,101.9%,808.29,-0.237,-1.068, (43.96), Chris Pappas (D) - NH-01,running
C001112,A, Salud O. Carbajal,CA-24,D,98.34,Bridger,17.00,85.16,85.16,15.00,85.37,42.69,0.48,83.32,124.98,10.50,30.11,30.11,423,99.22,74.41,13.95,99.23,74.42,10.00,98.57,49.29,20,78.88,39.44,13.95,99.23,74.42,0.86,35.40,48.45,30,93.76,46.88,0.112,62.19,31.10,739.55,1.00,12.57,44.59, 4.46 ,0.32, 19.87 ,0.99,1.64,52.10,2.60,108.1%,799.14,-0.319,-1.636, (59.88), Salud O. Carbajal (D) - CA-24,running
P000616,A, Dean Phillips,MN-03,D,98.26,Bridger,20.00,92.87,92.87,17.00,90.84,45.42,0.64,87.20,130.80,26.01,77.47,77.47,156,58.90,44.18,9.21,86.69,65.02,10.00,98.57,49.29,20,78.88,39.44,9.21,86.69,65.02,0.76,33.59,49.81,50,99.89,49.94,0.181,69.89,34.95,758.55,1.00,7.54,23.89, 2.39 ,0.28, 13.47 ,0.67,1.43,37.95,1.90,105.0%,796.17,-0.280,-1.427, (53.82), Dean Phillips (D) - MN-03,other race
S001208,A, Elissa Slotkin,MI-07,D,98.22,Bridger,31.00,99.87,99.87,25.00,99.27,49.64,1.49,98.12,147.18,29.41,84.94,84.94,226,78.81,59.11,6.04,59.33,44.50,10.00,98.57,49.29,20,78.88,39.44,6.04,59.33,44.50,0.13,23.20,57.60,40,98.92,49.46,0.717,98.46,49.23,774.82,0.00,2.12,9.20, 0.92 ,0.33, 21.19 ,1.06,1.30,30.18,1.51,102.6%,794.72,-0.326,-1.303, (54.35), Elissa Slotkin (D) - MI-07,senate candidate
B001303,A, Lisa Blunt Rochester,DE-AL,D,97.86,Bridger,26.00,98.96,98.96,14.00,81.95,40.98,0.38,80.19,120.29,5.82,18.24,18.24,347,96.35,72.27,10.14,91.45,68.59,10.00,98.57,49.29,20,78.88,39.44,10.14,91.45,68.59,0.23,24.72,56.46,30,93.76,46.88,-0.115,35.09,17.54,729.26,1.00,6.74,21.15, 2.12 ,0.36, 27.61 ,1.38,2.03,76.76,3.84,107.3%,782.74,-0.357,-2.030, (67.97), Lisa Blunt Rochester (D) - DE-AL,senate candidate
C001119,A, Angie Craig,MN-02,D,97.80,Bridger,19.00,90.75,90.75,13.00,78.07,39.03,0.26,76.40,114.60,18.54,55.56,55.56,425,99.25,74.44,14.31,99.41,74.56,10.00,98.57,49.29,20,78.88,39.44,14.31,99.41,74.56,0.33,26.29,55.28,50,99.89,49.94,0.622,96.92,48.46,766.75,1.00,0.61,6.67, 0.67 ,0.26, 11.31 ,0.57,0.93,12.30,0.61,101.8%,780.92,-0.264,-0.931, (42.87), Angie Craig (D) - MN-02,running
B001257,A, Gus M. Bilirakis,FL-12,R,97.41,Bridger,19.00,90.75,90.75,21.00,97.04,48.52,1.09,94.94,142.41,42.31,98.19,98.19,135,52.10,39.07,2.82,25.67,19.26,10.00,98.57,49.29,20,78.88,39.44,2.82,25.67,19.26,0.50,29.08,53.19,50,99.89,49.94,-0.033,44.73,22.37,698.60,1.00,16.58,62.61, 6.26 ,0.42, 43.75 ,2.19,1.40,35.89,1.79,110.2%,770.16,0.423,1.395, 60.23 , Gus M. Bilirakis (R) - FL-12,running
B001298,A, Don Bacon,NE-02,R,97.41,Bridger,20.00,92.87,92.87,30.00,99.91,49.96,2.18,99.78,149.66,59.18,99.98,99.98,319,94.10,70.58,5.89,57.72,43.29,10.00,98.57,49.29,20,78.88,39.44,5.89,57.72,43.29,2.43,65.34,25.99,50,99.89,49.94,0.188,70.63,35.32,763.58,0.00,0.17,6.05, 0.60 ,0.29, 14.35 ,0.72,0.45,2.32,0.12,100.8%,769.94,0.286,0.447, 32.79 , Don Bacon (R) - NE-02,running
L000585,A, Darin LaHood,IL-16,R,97.37,Bridger,13.00,68.41,68.41,14.00,81.95,40.98,0.32,78.32,117.48,47.32,99.39,99.39,140,53.73,40.30,9.10,86.03,64.52,10.00,98.57,49.29,20,78.88,39.44,9.10,86.03,64.52,0.19,24.10,56.92,5,35.64,17.82,0.217,73.61,36.80,708.36,1.00,13.46,48.63, 4.86 ,0.46, 53.49 ,2.67,1.12,20.22,1.01,108.5%,768.91,0.460,1.121, 58.12 , Darin LaHood (R) - IL-16,running
