bioguide_id,Bridge Grade,Senator,Party,State,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_P,adj_score_S,VV_ideology,PRL_ideology,Ideology_blended_score,2024 Election,label
H001076,A, Margaret Wood Hassan,D,NH,98.72,Bridger,72,98.20,98.20,30,99.63,49.81,2.03,98.91,148.36,43.98,91.72,91.72,545,87.32,65.49,21.75,99.419,74.564,10,92.50,46.25,20,66.13,33.06,21.75,99.42,74.56,0.28,21.06,59.20,20,89.88,44.94,0.026,58.91,29.46,832.42,1.0%,8.74,0.87,0.236,13.39,0.67,1.025, 14.22 ,0.71,102.3%,851.19,-0.236,-1.025,-53.352,not up for election, Margaret Wood Hassan (D) - NH
Y000064,A, Todd Young,R,IN,98.20,Bridger,36,64.88,64.88,19,90.21,45.11,1.37,94.08,141.13,47.00,95.08,95.08,451,76.50,57.37,12.31,78.806,59.105,10,92.50,46.25,20,66.13,33.06,12.31,78.81,59.10,0.19,19.27,60.54,20,89.88,44.94,-0.026,51.59,25.80,752.82,11.0%,60.24,6.02,0.439,48.69,2.43,1.407, 33.60 ,1.68,110.1%,829.14,0.439,1.407,50.210,not up for election, Todd Young (R) - IN
C001088,A, Christopher A. Coons,D,DE,97.93,Bridger,63,95.24,95.24,18,87.86,43.93,0.95,86.15,129.22,31.28,60.45,60.45,637,93.96,70.47,18.81,97.651,73.239,10,92.50,46.25,20,66.13,33.06,18.81,97.65,73.24,0.27,20.86,59.36,20,89.88,44.94,-0.217,26.09,13.05,775.65,7.0%,34.94,3.49,0.233,13.05,0.65,1.356, 30.51 ,1.53,105.7%,819.64,-0.233,-1.356,-58.409,not up for election, Christopher A. Coons (D) - DE
T000464,A, Jon Tester,D,MT,97.26,Bridger,57,91.66,91.66,25,97.98,48.99,1.34,93.59,140.38,39.74,84.41,84.41,553,88.04,66.03,18.42,97.228,72.921,10,92.50,46.25,20,66.13,33.06,18.42,97.23,72.92,0.03,16.33,62.75,10,58.31,29.15,0.154,75.21,37.61,794.78,11.0%,60.24,6.02,0.213,10.93,0.55,0.561, 3.17 ,0.16,100.7%,800.39,-0.213,-0.561,-43.104,running, Jon Tester (D) - MT
M001183,A, Joe III Manchin,I,WV,97.10,Bridger,39,70.02,70.02,23,96.38,48.19,1.92,98.52,147.78,46.41,94.53,94.53,735,97.66,73.25,14.1,87.003,65.252,10,92.50,46.25,20,66.13,33.06,14.1,87.00,65.25,0.48,25.36,55.98,30,99.03,49.52,0.4,94.03,47.02,795.33,22.0%,97.92,9.79,0.057,1.99,0.10,0.046, 0.32 ,0.02,100.1%,796.24,-0.057,0.046,-18.377,retiring, Joe III Manchin (I) - WV
C001035,A, Susan M. Collins,R,ME,97.07,Bridger,48,82.99,82.99,30,99.63,49.81,2.41,99.67,149.50,71.26,99.99,99.99,409,70.37,52.78,16.58,94.287,70.716,10,92.50,46.25,20,66.13,33.06,16.58,94.29,70.72,0.08,17.22,62.09,10,58.31,29.15,-0.525,4.11,2.06,793.32,2.0%,11.60,1.16,0.118,4.15,0.21,0.359, 1.40 ,0.07,100.3%,795.52,0.118,0.359,3.232,not up for election, Susan M. Collins (R) - ME
C001047,A, Shelley Moore Capito,R,WV,94.94,Bridger,18,31.71,31.71,21,93.89,46.94,1.12,89.97,134.96,53.63,98.74,98.74,529,85.77,64.33,7.92,49.926,37.444,10,92.50,46.25,20,66.13,33.06,7.92,49.93,37.44,0.87,34.91,48.82,20,89.88,44.94,0.142,73.84,36.92,670.89,22.0%,97.92,9.79,0.281,19.22,0.96,1.422, 34.50 ,1.73,112.5%,754.60,0.281,1.422,39.179,not up for election, Shelley Moore Capito (R) - WV
S001191,A, Kyrsten Sinema,I,AZ,93.34,Bridger,29,51.93,51.93,27,98.93,49.46,1.15,90.61,135.92,28.20,49.72,49.72,427,73.08,54.81,27.39,99.981,74.986,10,92.50,46.25,20,66.13,33.06,27.39,99.98,74.99,0.06,16.86,62.35,40,99.97,49.98,0.076,65.67,32.83,729.72,2.0%,11.60,1.16,0.105,3.57,0.18,0.587, 3.50 ,0.18,100.4%,732.30,-0.105,-0.587,-35.795,retiring, Kyrsten Sinema (I) - AZ
S001181,A, Jeanne Shaheen,D,NH,93.34,Bridger,55,90.10,90.10,18,87.86,43.93,0.44,69.79,104.68,29.14,53.04,53.04,512,84.00,63.00,15.25,90.931,68.198,10,92.50,46.25,20,66.13,33.06,15.25,90.93,68.20,0.63,28.87,53.35,20,89.88,44.94,-0.128,37.32,18.66,715.00,1.0%,8.74,0.87,0.239,13.73,0.69,1.096, 17.11 ,0.86,102.4%,732.28,-0.239,-1.096,-54.754,not up for election, Jeanne Shaheen (D) - NH
C001056,A, John Cornyn,R,TX,93.23,Bridger,96,99.94,99.94,23,96.38,48.19,1.71,97.38,146.07,44.85,92.83,92.83,474,79.53,59.65,4.58,27.036,20.277,10,92.50,46.25,20,66.13,33.06,4.58,27.04,20.28,1.44,50.59,37.06,10,58.31,29.15,-0.066,45.92,22.96,679.01,5.0%,23.88,2.39,0.471,55.43,2.77,1.653, 49.70 ,2.48,107.6%,730.92,0.471,1.653,56.613,not up for election, John Cornyn (R) - TX
